City Name,Temperature (F),Humidity %,Cloud Coverage %,Wind Speed (mph),City Latitude,City Longitude,City Country,City Local Date_Time,Random_Latitude,Random_Longitude
Rikitea,78.71,78,36,16.4,-23.1203,-134.9692,PF,"Thu, 11 Mar 2021 08:10:27",-45.98,-138.65
Puerto Ayora,84.2,74,40,9.22,-0.7393,-90.3518,EC,"Thu, 11 Mar 2021 11:10:28",-6.42,-102.73
Saskylakh,-11.78,87,100,18.37,71.9167,114.0833,RU,"Fri, 12 Mar 2021 02:10:28",72.34,114.57
Aksarka,-12.62,93,96,18.61,66.5606,67.7975,RU,"Thu, 11 Mar 2021 22:10:28",64.74,68.78
Barrow,-11.2,70,1,9.22,71.2906,-156.7887,US,"Thu, 11 Mar 2021 08:10:29",69.86,-161.43
Wuwei,50.0,30,7,2.21,37.9281,102.6414,CN,"Fri, 12 Mar 2021 01:10:29",37.73,103.61
Albany,60.01,47,70,1.99,42.6001,-73.9662,AU,"Thu, 11 Mar 2021 12:10:29",-89.31,111.88
Touros,87.8,55,20,18.41,-5.1989,-35.4608,BR,"Thu, 11 Mar 2021 14:10:30",-2.73,-30.08
Port Elizabeth,62.6,100,90,11.5,-33.918,25.5701,ZA,"Thu, 11 Mar 2021 19:10:30",-56.51,28.03
Mataura,43.0,92,67,1.99,-46.1927,168.8643,PF,"Fri, 12 Mar 2021 06:10:30",-79.98,-165.38
Bluff,43.0,92,56,1.99,-46.6,168.3333,NZ,"Fri, 12 Mar 2021 06:10:31",-81.67,174.82
Srandakan,77.0,88,100,3.85,-7.9386,110.2506,ID,"Fri, 12 Mar 2021 00:10:31",-17.36,106.97
Ponta do Sol,64.4,63,40,11.5,32.6667,-17.1,CV,"Thu, 11 Mar 2021 17:10:32",23.27,-28.7
Broome,62.01,36,75,16.11,42.2506,-75.833,AU,"Thu, 11 Mar 2021 12:10:32",-18.31,121.2
Makakilo City,71.6,94,90,4.61,21.3469,-158.0858,US,"Thu, 11 Mar 2021 07:10:33",4.95,-165.92
Hamilton,64.4,59,90,17.27,39.1834,-84.5333,US,"Thu, 11 Mar 2021 12:08:04",46.37,-114.47
Oranjemund,68.88,81,1,14.43,-28.55,16.4333,NA,"Thu, 11 Mar 2021 19:10:33",-29.09,14.24
East London,64.4,94,75,5.75,-33.0153,27.9116,ZA,"Thu, 11 Mar 2021 19:10:33",-50.39,38.03
Khatanga,-14.13,93,100,19.73,71.9667,102.5,RU,"Fri, 12 Mar 2021 00:10:34",74.1,96.63
Upernavik,5.54,82,91,3.65,72.7868,-56.1549,GL,"Thu, 11 Mar 2021 14:10:34",76.36,-55.59
Bida,101.93,22,100,3.42,9.0833,6.0167,NG,"Thu, 11 Mar 2021 18:10:34",9.4,6.22
Chokurdakh,-20.15,83,99,6.29,70.6333,147.9167,RU,"Fri, 12 Mar 2021 04:10:35",73.63,151.14
Kapaa,70.0,100,20,6.91,22.0752,-159.319,US,"Thu, 11 Mar 2021 07:10:35",38.89,-157.38
Kumul,52.07,24,21,4.74,42.8,93.45,CN,"Fri, 12 Mar 2021 01:10:36",42.47,91.52
Saint-Philippe,78.8,57,0,11.5,-21.3585,55.7679,RE,"Thu, 11 Mar 2021 21:10:36",-33.31,60.59
Yellowknife,-0.99,77,75,11.5,62.456,-114.3525,CA,"Thu, 11 Mar 2021 10:10:36",76.6,-109.27
Port Macquarie,68.0,94,75,5.75,-31.4333,152.9167,AU,"Fri, 12 Mar 2021 04:10:37",-36.36,161.4
Seydi,53.76,26,7,14.14,39.4816,62.9137,TM,"Thu, 11 Mar 2021 22:09:12",38.86,62.82
Wasilla,14.0,79,90,6.91,61.5814,-149.4394,US,"Thu, 11 Mar 2021 08:10:37",63.78,-151.51
Kodumudi,80.51,59,24,14.23,11.0775,77.8836,IN,"Thu, 11 Mar 2021 22:40:38",11.09,77.94
